Fiscal Year,Company Name,Company Address,Municipality,County 1,State,Zip Code,Business Industry,NAICS Code,Minority/ Woman/ Veteran/ International Export,Contract Execution Date,Grant Amount,Loan Amount,Total Assistance ,Total Project Cost,Amount Leveraged,Funding Source,Statutory Reference,Per Contract: Full-Time CT Jobs to be Retained,Per Contract: Full-Time CT Jobs to be Created,Per Contract: Part-Time CT Jobs to be Retained,Per Contract: Part-Time CT Jobs to be Created,Actual Jobs at Time of Review,Job Obligation Status,Penalty (if applicable),Forgiveness Earned (if applicable),Per Application: Existing Full-Time Jobs in CT,Per Application: Full-Time Jobs to be Created in CT,Per Application: Existing Part-Time Jobs in CT,Per Application: Part Time Jobs to be Created in CT,Full-Time CT Employment at 6/30/20,Part-Time CT Employment at 6/30/20,Status,Location 1,Count,Geocoded Location,Planning Regions,Counties,Zip Code 2,Town Index
2014,Homeserve USA Corp.,601 Merritt 7 - 6th Floor,Norwalk,Fairfield,CT,06851,Manufacturing,811310,No,12/26/2013,1000000.00,9000000.00,10000000.00,33075433.00,23075433.00,Manufacturing Assistance Act/URA Tax Credits,CH 588l,109,130,,,239,met,n/a,"2,000,000",n/a,n/a,n/a,n/a,,,Active,601 Merritt 7 - 6th Floor,1,"601 Merritt 7 - 6th Floor
Norwalk, CT 06851
(41.149787, -73.425926)",9,1040,87,103
2014,"Drillmaster-Eldorado Tool, Inc.",336 Boston Post Road,Milford,New Haven,CT,06460,Special Die & Tool,333514,No,08/30/2013,60000.00,0.00,60000.00,209030.00,149030.00,Small Business Express Program,CGS Sec. 32-7g,77,2,0,0,79,Met,n/a,n/a,77,2,0,0,,,Compliance Complete,336 Boston Post Road,1,"336 Boston Post Road
Milford, CT 06460
(41.224776, -73.071639)",7,1044,193,84
2018,"Stanger & Associates, LLC","433 South Main Street, Suite 112",West Hartford,Hartford,CT,06110,Law,541110,Yes Woman,07/20/2017,40000.00,0.00,40000.00,80000.00,40000.00,Small Business Express Program,CGS Sec. 32-7g,6,2,0,0,Pending,Pending,n/a,n/a,6,2,4,0,,,Compliance Complete,"433 South Main Street, Suite 112",1,"433 South Main Street, Suite 112
West Hartford, CT 06110
(41.733205, -72.743215)",1,1041,213,155
2012,"Bridgeport Regional Business Council, Inc.",10 Middle Street,Bridgeport,Fairfield,CT,06604,Service,813910,,04/24/2012,55000.00,0.00,55000.00,136000.00,81000.00,Small Business Express Program,CGS Sec. 32-7g,-,-,0,0,n/a,n/a,n/a,n/a,0,0,0,0,,,Active,10 Middle Street,1,"10 Middle Street
Bridgeport, CT 06604
(41.178419, -73.18846)",2,1040,172,15
2012,"Columbia Elevator Products Company, Inc.",380 Horace Street,Bridgeport,Fairfield,CT,06610,Manufacturing,333921,No,09/08/2011,0.00,2000000.00,2000000.00,8985000.00,6985000.00,Manufacturing Assistance Act,CH 588l,0,100,,,77,Not Met,"460,000",n/a,0,100,0,0,32,0,Active,380 Horace Street,1,"380 Horace Street
Bridgeport, CT 06610
(41.203118, -73.177071)",2,1040,41,15
2013,"Jason Project, Inc.",55 Coogan Boulevard,Mystic,New London,CT,06355,Manufacturing,813920,No,10/10/2012,0.00,4000000.00,4000000.00,8000000.00,4000000.00,Manufacturing Assistance Act Revolving Loan Fund,CH 588l,n/a,n/a,n/a,n/a,n/a,n/a,n/a,"3,900,000",0,0,0,0,,,Active,55 Coogan Boulevard,1,"55 Coogan Boulevard
Mystic, CT 06355
(41.372631, -71.951268)",8,1045,135,137
2015,"Center Pie, LLC",115 Brentwood Drive,Southington,Hartford,CT,06489,Restaurant,722110,No,05/04/2015,40000.00,87500.00,127500.00,167500.00,40000.00,Small Business Express Program,CGS Sec. 32-7g,0,3,0,0,Pending,Pending,n/a,n/a,0,4,0,0,,,Compliance Complete,115 Brentwood Drive,1,"115 Brentwood Drive
Southington, CT 06489
(41.605315, -72.929007)",1,1041,176,131
2019,"Gillette Ridge Wine & Spirits, LLC",860 Cottage Grove Road,Bloomfield,Hartford,CT,06002,Retail Liquor,445310,Yes Woman/Minority,03/13/2019,40000.00,100000.00,140000.00,497000.00,357000.00,Small Business Express Program,CGS Sec. 32-7g,6,4,0,0,Pending,Pending,n/a,n/a,2,4,2,0,,,Compliance Complete,860 Cottage Grove Road,1,"860 Cottage Grove Road
Bloomfield, CT 06002
(41.816842, -72.740547)",1,1041,224,11
2019,"Restaurant Supply, LLC dba Restaurant Supply.com",312 Murphy Road,Hartford,Hartford,CT,06114,Commercial Equipment,423440,No,08/22/2018,100000.00,,100000.00,1205200.00,1105200.00,Small Business Express Program,CGS Sec. 32-7g,20,20,0,0,Pending,Pending,n/a,n/a,35,15,3,3,,,Active,312 Murphy Road,1,"312 Murphy Road
Hartford, CT 06114
(41.736157, -72.657753)",1,1041,8,64
2013,"Sweet Mavens, LLC",159 Naubuc Avenue,East Hartford,Hartford,CT,06118,Confectionery and Nut Stores,445292,No,12/12/2012,14250.00,100000.00,114250.00,128500.00,14250.00,Small Business Express Program,CGS Sec. 32-7g,1,1,0,0,2,Met,n/a,n/a,1,1,0,0,,,Compliance Complete,159 Naubuc Avenue,1,"159 Naubuc Avenue
East Hartford, CT 06118
(41.73024, -72.628354)",1,1041,24,43
2016,"Yumi EcoSolutions, Inc.",66 Fort Point Street,Norwalk,Fairfield,CT,06855,"Manufacturer, Wholesale Distributor",326199,Yes Woman/Minority,09/08/2015,0.00,50000.00,50000.00,126385.00,76385.00,Small Business Express Program,CGS Sec. 32-7g,3,1,0,0,2,Not Met,Rate increase from 2% to 3%,n/a,0,1,0,0,,,Repaid 11/3/2017,66 Fort Point Street,1,"66 Fort Point Street
Norwalk, CT 06855
(41.103838, -73.407107)",9,1040,247,103
2016,"Leipold, Inc.",545 Marshall Phelps Road,Windsor,Hartford,CT,06095,Manufacturing,332721,No,07/08/2015,0.00,3000000.00,3000000.00,8000000.00,5000000.00,Manufacturing Assistance Act,CH 588l,24,10,,,52,Met,n/a,"1,200,000",40,40,0,0,,,Active,545 Marshall Phelps Road,1,"545 Marshall Phelps Road
Windsor, CT 06095
(41.880013, -72.686801)",1,1041,19,164
2017,"Porter Preston, Inc.",61 Mattatuck Heights Road,Waterbury,New Haven,CT,06705,Wholesale Manufacturer /Window Treatments,337920,No,01/13/2017,35875.00,0.00,35875.00,71750.00,35875.00,Small Business Express Program,CGS Sec. 32-7g,23,3,0,0,Pending,Pending,n/a,n/a,26,2,2,0,,,Active,61 Mattatuck Heights Road,1,"61 Mattatuck Heights Road
Waterbury, CT 06705
(41.539626, -72.980251)",4,1044,241,151
2016,"Bottle Shop of Unionville, LLC",20 South Main Street,Unionville,New London,CT,06035,Spirits,445310,No,08/19/2015,0.00,100000.00,100000.00,100000.00,0.00,Small Business Express Program,CGS Sec. 32-7g,1,1,0,0,3,Met,n/a,n/a,1,0,0,0,,,Active,20 South Main Street,1,"20 South Main Street
Unionville, CT 06035
(41.757228, -72.886907)",1,1041,81,52
2018,"Construction Resources, Inc.",316 Main Street,Farmington,Hartford,CT,06032,General Contractor,236220,No,09/01/2017,100000.00,0.00,100000.00,200000.00,100000.00,Small Business Express Program,CGS Sec. 32-7g,22,4,0,0,Pending,Pending,n/a,n/a,1,0,0,0,,,Active,316 Main Street,1,"316 Main Street
Farmington, CT 06032
(41.705622, -72.84276)",1,1041,254,52
2018,"D & D Carbide Grinding, Inc aka Applied Tooling Concepts",598 Deming Road,Berlin,Hartford,CT,06037,Manufacturing,333518,Yes Veteran,09/01/2017,45000.00,0.00,45000.00,90000.00,45000.00,Small Business Express Program,CGS Sec. 32-7g,24,3,0,0,Pending,Pending,n/a,n/a,24,3,1,0,,,Compliance Complete,598 Deming Road,1,"598 Deming Road
Berlin, CT 06037
(41.642243, -72.728511)",1,1041,253,7
2013,"Swing by Swing Golf, Inc. f/k/a Back9Network, Inc.",80 Statehouse Square #158,Hartford,Hartford,CT,06123,Manufacturing,515120,No,08/15/2012,0.00,4750000.00,4750000.00,8845546.00,4095546.00,Manufacturing Assistance Act,CH 588l,10,40,,,18,Not Met,n/a,"500,000",2,48,0,0,,,Active,80 Statehouse Square #158,1,"80 Statehouse Square #158
Hartford, CT 06123
(41.766174, -72.671867)",1,1041,82,64
2012,"Enermore, LLC",9 Clemens Court,Rocky Hill,Hartford,CT,06067,Wholesale,424210,,04/18/2012,100000.00,150000.00,250000.00,1700000.00,1450000.00,Small Business Express Program,CGS Sec. 32-7g,0,3,0,0,Pending,Pending,n/a,n/a,0,3,0,0,,,Active,9 Clemens Court,1,"9 Clemens Court
Rocky Hill, CT 06067
(41.640046, -72.68585)",1,1041,189,119
2014,"Holiday Steak House, Inc dba San Martino Restaurant",111-23 Thomaston Avenue,Waterbury,New Haven,CT,06702,Restaurant,722410,No,10/30/2013,50000.00,284491.00,334491.00,384491.00,50000.00,Small Business Express Program,CGS Sec. 32-7g,5,5,0,0,22,Met,n/a,n/a,5,1,0,0,,,Active,111-23 Thomaston Avenue,1,"111-23 Thomaston Avenue
Waterbury, CT 06702
(41.56024, -73.053095)",4,1044,167,151
2018,"P2 Science, Inc.",4 Research Drive,Woodbridge,New Haven,CT,06525,Manufacturing,325998,No,02/01/2018,0.00,1200000.00,1200000.00,3200000.00,2000000.00,Manufacturing Assistance Act,CH 588l,4,25,0,0,Pending,Pending,n/a,n/a,4,25,0,0,,,Active,4 Research Drive,1,"4 Research Drive
Woodbridge, CT 06525
(41.344241, -72.976794)",7,1044,61,167
2013,"IT Direct, LLC",151 New Park Avenue,Hartford,Hartford,CT,06106,Direct Mailing and Marketing,541860,No,03/14/2013,100000.00,0.00,100000.00,1641750.00,1541750.00,Small Business Express Program,CGS Sec. 32-7g,18,10,0,0,25,Not Met,"$3,000",n/a,18,10,0,0,,,Out of Business- written off,151 New Park Avenue,1,"151 New Park Avenue
Hartford, CT 06106
(41.752372, -72.709548)",1,1041,182,64
2013,"ProTech Automotive, LLC",690 South Main Street,Middletown,Middlesex,CT,06457,Automotive Repair,811111,No,12/12/2012,0.00,250000.00,250000.00,250000.00,0.00,Small Business Express Program,CGS Sec. 32-7g,4,5,0,0,10,Met,n/a,"$   50,000",3,2,0,0,,,Compliance Complete,690 South Main Street,1,"690 South Main Street
Middletown, CT 06457
(41.538079, -72.654254)",3,1043,236,83
2013,"Tuscan Oven of Norwalk, LLC",544 Main Avenue,Norwalk,Fairfield,CT,06851,Full Service Restaurant,722511,No,07/06/2012,75000.00,0.00,75000.00,150000.00,75000.00,Small Business Express Program,CGS Sec. 32-7g,25,0,0,0,25,Met,n/a,n/a,25,0,0,0,,,Compliance Complete,544 Main Avenue,1,"544 Main Avenue
Norwalk, CT 06851
(41.155821, -73.423495)",9,1040,87,103
2018,"Martocchio & Oliveira, LLC",191 Main Street,Southington,Hartford,CT,06489,Legal Services,541110,No,12/12/2017,60000.00,141000.00,201000.00,261000.00,60000.00,Small Business Express Program,CGS Sec. 32-7g,4,3,0,0,Pending,Pending,n/a,n/a,4,3,3,0,,,Active,191 Main Street,1,"191 Main Street
Southington, CT 06489
(41.598068, -72.877771)",1,1041,176,131
2016,"State Wide Insurance, LLC",1347 East Main Street,Meriden,New Haven,CT,06450,Insurance,524210,Yes Minority,11/25/2015,,235000.00,235000.00,968000.00,733000.00,Small Business Express Program,CGS Sec. 32-7g,,,0,0,Pending,Pending,n/a,n/a,2,2,0,0,,,Active,1347 East Main Street,1,"1347 East Main Street
Meriden, CT 06450
(41.525683, -72.75753)",7,1044,199,80
2017,Southeastern Connecticut Cultural Coalition,P.O. Box 95,New London,New London,CT,06320,"Arts, Cuture & Humanities",712100,No,08/01/2016,20000.00,0.00,20000.00,40000.00,20000.00,Small Business Express Program,CGS Sec. 32-7g,1,,0,0,Pending,Pending,n/a,n/a,1,1,0,0,,,Compliance Complete,P.O. Box 95,1,,,,,
2017,"Giant Pizza, Inc.",43 Westcott Road,Killingly,Windham,CT,06239,Restaurant,722511,No,01/18/2017,40000.00,40000.00,80000.00,122000.00,42000.00,Small Business Express Program,CGS Sec. 32-7g,7,2,0,0,Pending,Pending,n/a,n/a,7,4,14,0,,,Compliance Complete,43 Westcott Road,1,"43 Westcott Road
Killingly, CT 06239
(41.809331, -71.877224)",5,39,71,69
2012,"The Vanilla Bean Café, Inc. aka Dog Lane Café",1 Dog Lane,Storrs,Tolland,CT,06268,Restaurant,722513,No,04/13/2012,100000.00,0.00,100000.00,596550.00,496550.00,Small Business Express Program,CGS Sec. 32-7g,8,10,0,0,19,Met,n/a,n/a,8,10,0,0,,,Active,1 Dog Lane,1,"1 Dog Lane
Storrs, CT 06268
(41.805092, -72.243089)",1,38,33,78
2016,"LaRoche Builders, LLC",41 Converse Street,Stafford Springs,Tolland,CT,06076,General Contracting Construction,236210,No,01/27/2016,100000.00,0.00,100000.00,200000.00,100000.00,Small Business Express Program,CGS Sec. 32-7g,8,5,0,0,10,Not Met,"$23,076",n/a,8,2,0,0,19,3,Active,41 Converse Street,1,"41 Converse Street
Stafford Springs, CT 06076
(41.956317, -72.312418)",1,38,34,134
2017,"Accutrol, LLC",21 Commerce Drive,Danbury,Fairfield,CT,06810,HVAC Controls Manufacturing,333415,Yes International Export,06/01/2017,100000.00,300000.00,400000.00,3679500.00,3279500.00,Small Business Express Program,CGS Sec. 32-7g,29,15,0,0,Pending,Pending,n/a,n/a,29,15,2,0,,,Active,21 Commerce Drive,1,"21 Commerce Drive
Danbury, CT 06810
(41.408791, -73.418066)",9,1040,1,34
2012,"Jolley Concrete, Inc.",42 Junior Avenue,Killingly,Windham,CT,06239,Manufacturing,327320,No,06/27/2012,100000.00,0.00,100000.00,485714.00,385714.00,Small Business Express Program,CGS Sec. 32-7g,28,0,0,0,38,Met,n/a,n/a,42,3,0,0,,,Active,42 Junior Avenue,1,"42 Junior Avenue
Killingly, CT 06239
(41.762906, -71.903614)",5,39,71,69
2019,"Jarvis Airfoil, Inc.",528 Glastonbury Turnpike,Portland,Middlesex,CT,06480,Aircraft Engine Parts Manufacturing,336412,No,08/28/2018,60000.00,300000.00,360000.00,608256.00,248256.00,Small Business Express Program,CGS Sec. 32-7g,84,6,0,0,Pending,Pending,n/a,n/a,87,7,3,0,,,Active,528 Glastonbury Turnpike,1,"528 Glastonbury Turnpike
Portland, CT 06480
(41.606821, -72.603029)",3,1043,126,113
2012,"Street Fleet Mechanics, LLC",18 Peters Road,Bloomfield,Hartford,CT,06002,Service,811111,No,05/02/2012,100000.00,56000.00,156000.00,256000.00,100000.00,Small Business Express Program,CGS Sec. 32-7g,9,5,0,0,3,Not Met,Rate increase from 2% to 3%,n/a,11,5,0,0,,,Active,18 Peters Road,1,"18 Peters Road
Bloomfield, CT 06002
(41.857471, -72.733643)",1,1041,224,11
2013,"Hardware on Wheels, LLC",226 Spruce Street,Manchester,Hartford,CT,06040,Hardware Store,444130,No,03/28/2013,0.00,70000.00,70000.00,70000.00,0.00,Small Business Express Program,CGS Sec. 32-7g,0,1,0,0,1,Met,n/a,n/a,0,1,0,0,,,Active,226 Spruce Street,1,"226 Spruce Street
Manchester, CT 06040
(41.768243, -72.515807)",1,1041,263,77
2015,"Insurity, Inc.",170 Huyshope Avenue,Hartford,Hartford,CT,06106,Manufacturing,518210,No,06/05/2015,1000000.00,5000000.00,6000000.00,12180505.00,6180505.00,Manufacturing Assistance Act,CH 588l,281,45,,,329,Met,n/a,"500,000",274,45,17,0,,,Active,170 Huyshope Avenue,1,"170 Huyshope Avenue
Hartford, CT 06106
(41.754903, -72.663433)",1,1041,182,64
2013,"Commerce Drivers, LLC",250 Myrtle Avenue,Bridgeport,Fairfield,CT,06604,Information Technology,541511,No,05/28/2013,82000.00,202000.00,284000.00,369046.00,85046.00,Small Business Express Program,CGS Sec. 32-7g,0,7,0,0,0,Not Met,OOB,OOB,0,7,0,0,,,Compliance Complete,250 Myrtle Avenue,1,"250 Myrtle Avenue
Bridgeport, CT 06604
(41.166557, -73.190516)",2,1040,172,15
2014,"Express Countertops, Kitchen & Flooring, LLC",3080 Main Street,Hartford,Hartford,CT,06120,Manufacturing,337110,No,11/06/2013,0.00,2000000.00,2000000.00,2425000.00,425000.00,Manufacturing Assistance Act,CH 588l,38,50,,,90,Met,n/a,"750,000",34,54,1,1,,,Active,3080 Main Street,1,"3080 Main Street
Hartford, CT 06120
(41.794093, -72.664708)",1,1041,79,64
2016,"Insul Attic, LLC",P.O. Box 995,Dayville,Windham,CT,06241,Wholesale Insulation Products,423300,No,12/08/2015,0.00,92300.00,92300.00,92300.00,0.00,Small Business Express Program,CGS Sec. 32-7g,0,2,0,0,2,Met,n/a,n/a,0,2,0,0,,,Active,P.O. Box 995,1,,,,,
2012,"R. Pelton Builders, Inc.",2590 Berlin Turnpike,Berlin,Hartford,CT,06037,Service,541690,No,06/11/2012,100000.00,250000.00,350000.00,506000.00,156000.00,Small Business Express Program,CGS Sec. 32-7g,20,3,0,0,32,Met,n/a,n/a,29,5,0,0,,,Active,2590 Berlin Turnpike,1,"2590 Berlin Turnpike
Berlin, CT 06037
(41.58327, -72.7642)",1,1041,253,7
2013,"Connecticut River Line, LLC","22 South Side Bluff, P.O. Box 267",Haddam,Middlesex,CT,06438,River Cruise Line,561990,No,01/23/2013,0.00,16700.00,16700.00,36489.00,19789.00,Small Business Express Program,CGS Sec. 32-7g,1,1,0,0,0,Not Met,"$2,000",n/a,1,1,0,0,,,Out of Business- confirmed,"22 South Side Bluff, P.O. Box 267",1,"22 South Side Bluff, P.O. Box 267
Haddam, CT 06438
(41.452048, -72.468589)",3,1043,164,61
2015,"Toppy America, LLC",97 River Road,Canton,Hartford,CT,06019,Material Handling,423830,No,06/08/2015,0.00,95000.00,95000.00,95000.00,0.00,Small Business Express Program,CGS Sec. 32-7g,4,0,0,0,4,Met,n/a,n/a,4,0,1,0,,,Compliance Complete,97 River Road,1,"97 River Road
Canton, CT 06019
(41.827661, -72.925748)",1,1041,80,23
2014,"Innovative Health Plan, LLC",46 Prince Street - Suite 206,New Haven,New Haven,CT,06519,Insurance Agencies and Brokerages,524210,No,09/30/2013,100000.00,300000.00,400000.00,676000.00,276000.00,Small Business Express Program,CGS Sec. 32-7g,0,5,0,0,Pending,Pending,n/a,n/a,0,5,0,0,,,Active,46 Prince Street - Suite 206,1,"46 Prince Street - Suite 206
New Haven, CT 06519
(41.30118, -72.930197)",7,1044,132,93
2012,American Municipal Tax-Exempt Compliance Corp.,90 Avon Meadow Lane,Avon,Hartford,CT,06001,Service,541219,No,05/07/2012,100000.00,0.00,100000.00,200000.00,100000.00,Small Business Express Program,CGS Sec. 32-7g,8,2,0,0,12,Met,n/a,n/a,8,2,0,0,,,Active,90 Avon Meadow Lane,1,"90 Avon Meadow Lane
Avon, CT 06001
(41.821083, -72.827202)",1,1041,46,4
2018,"Valaouras Berner Enterprises, LLC dba 9 Round Fitness & Kickboxing",12 Wellesley Drive,Branford,New Haven,CT,06405,Fitness Center,713940,Yes Woman,03/27/2018,15000.00,30000.00,45000.00,60000.00,15000.00,Small Business Express Program,CGS Sec. 32-7g,5,1,0,0,Pending,Pending,n/a,n/a,5,1,11,1,,,Active,12 Wellesley Drive,1,"12 Wellesley Drive
Branford, CT 06405
(41.286697, -72.759759)",7,1044,170,14
2015,"KaroTech, Inc.","3 Morse Road, Units 3C & 3D",Oxford,New Haven,CT,06478,Manufacturing of Drawn Metals,339900,Yes International Export,10/16/2014,100000.00,0.00,100000.00,525281.00,425281.00,Small Business Express Program,CGS Sec. 32-7g,8,5,0,0,9,Not Met,"$11,428",n/a,8,5,0,0,,,Active,"3 Morse Road, Units 3C & 3D",1,"3 Morse Road, Units 3C & 3D
Oxford, CT 06478
(41.473863, -73.149498)",4,1044,12,108
2014,"University of CT Research & Development Corporation dba UCONN Ventures, Inc.","400 Farmington Avenue, MC 6409",Farmington,Hartford,CT,06032,Development of Start Up,621111,No,09/23/2013,100000.00,300000.00,400000.00,600000.00,200000.00,Small Business Express Program,CGS Sec. 32-7g,1,5,0,0,41,Met,n/a,"$   200,000",1,5,0,0,,,Active,"400 Farmington Avenue, MC 6409",1,"400 Farmington Avenue, MC 6409
Farmington, CT 06032
(41.730623, -72.799919)",1,1041,254,52
2016,"Bell Power System, LLC",34 Plains Road,Essex,Middlesex,CT,06426,Engine Distributor (John Deere & Yanmar),333618/333120,No,08/11/2015,100000.00,0.00,100000.00,311845.00,211845.00,Small Business Express Program,CGS Sec. 32-7g,54,5,0,0,48,Not Met,"$   100,000",n/a,56,6,0,0,,,Compliance Complete,34 Plains Road,1,"34 Plains Road
Essex, CT 06426
(41.347264, -72.40671)",3,1043,97,50
2013,"Devine Brothers, Inc.",38 Commerce Street,Norwalk,Fairfield,CT,06850,Energy/Propane,454312,No,05/31/2013,60000.00,100000.00,160000.00,341227.00,181227.00,Small Business Express Program,CGS Sec. 32-7g,40,3,0,0,45,Met,n/a,n/a,40,4,0,0,,,Compliance Complete,38 Commerce Street,1,"38 Commerce Street
Norwalk, CT 06850
(41.115774, -73.411282)",9,1040,204,103
2013,"World Gym Fitness & Aerobics of West Hartford, Inc.",99 Shield Street,West Hartford,Hartford,CT,06110,Fitness Center,713940,No,03/21/2013,50000.00,0.00,50000.00,100000.00,50000.00,Small Business Express Program,CGS Sec. 32-7g,1,3,0,0,5,Met,n/a,n/a,1,3,0,0,,,Active,99 Shield Street,1,"99 Shield Street
West Hartford, CT 06110
(41.725296, -72.720494)",1,1041,213,155
2018,"Person-to-Person, Inc.",1864 Post Road,Darien,Fairfield,CT,06820,Non-Profit Human Services Agency,813000,No,06/07/2018,40000.00,,40000.00,80000.00,40000.00,Small Business Express Program,CGS Sec. 32-7g,19,2,0,0,Pending,Pending,n/a,n/a,19,2,4,0,,,Active,1864 Post Road,1,"1864 Post Road
Darien, CT 06820
(41.061555, -73.483977)",9,1040,5,35
2013,"IMPACT Branding & Design, LLC",98 South Turnpike Road,Wallingford,New Haven,CT,06492,Inbound Marketing,541800,No,04/05/2013,49886.00,0.00,49886.00,75627.00,25741.00,Small Business Express Program,CGS Sec. 32-7g,12,3,0,0,24,Met,n/a,n/a,13,3,0,0,,,Compliance Complete,98 South Turnpike Road,1,"98 South Turnpike Road
Wallingford, CT 06492
(41.447778, -72.844346)",7,1044,195,148
2014,"Komal, Inc. dba Pretzel Time",86 Bystrek Drive,Middletown,Middlesex,CT,06451,Retail Pretzel Store,311821,No,10/28/2013,50000.00,0.00,50000.00,100000.00,50000.00,Small Business Express Program,CGS Sec. 32-7g,3,4,0,0,7,Met,n/a,n/a,4,4,0,0,,,Active,86 Bystrek Drive,1,"86 Bystrek Drive
Middletown, CT 06451
(41.583635, -72.699516)",3,1043,236,83
2013,BML Tool & Mfg Corp.,67 Enterprise Drive,Monroe,New Haven,CT,06824,Precision Metal Products & Services,332116/332322,No,10/10/2012,100000.00,0.00,100000.00,255000.00,155000.00,Small Business Express Program,CGS Sec. 32-7g,23,4,0,0,33,Met,n/a,n/a,23,4,0,0,,,Active,67 Enterprise Drive,1,"67 Enterprise Drive
Monroe, CT 06824
(41.352725, -73.251725)",2,1040,3,85
2013,R & D Dynamics Corporaton,49 West Dudley Town Road,Bloomfield,Hartford,CT,06002,Search Detection & Navigation Instruments,334511,No,05/10/2013,100000.00,300000.00,400000.00,800000.00,400000.00,Small Business Express Program,CGS Sec. 32-7g,62,10,0,0,64,Not Met,rate increase from 3% to 4%,n/a,62,10,0,0,,,Active,49 West Dudley Town Road,1,"49 West Dudley Town Road
Bloomfield, CT 06002
(41.853485, -72.713811)",1,1041,224,11
2013,"Fitzgerald Automotive, LLC",187 South Main Street,Beacon Falls,New Haven,CT,06403,Automotive Repair/Machine Shop,811111,No,10/26/2012,25000.00,0.00,25000.00,50000.00,25000.00,Small Business Express Program,CGS Sec. 32-7g,4,1,0,0,5,Met,n/a,n/a,5,3,0,0,,,Active,187 South Main Street,1,"187 South Main Street
Beacon Falls, CT 06403
(41.435708, -73.059785)",4,1044,138,6
2018,"Bagelicious, LLC",945 South Main Street,Cheshire,New Haven,CT,06410,Bagel and Lunch,445290,No,05/18/2018,30000.00,140000.00,170000.00,260000.00,90000.00,Small Business Express Program,CGS Sec. 32-7g,0,6,0,0,Pending,Pending,n/a,n/a,3,4,6,3,,,Active,945 South Main Street,1,"945 South Main Street
Cheshire, CT 06410
(41.479396, -72.905789)",4,1044,63,25
2014,"The Shore Thing, LLC","295 Treadwell Street, D3",Hamden,New Haven,CT,06514,Seafood Manufacturing,311712,No,08/01/2013,0.00,97000.00,97000.00,120000.00,23000.00,Small Business Express Program,CGS Sec. 32-7g,2,2,0,0,0,Not Met,2% to 3%,n/a,2,2,0,0,,,Active,"295 Treadwell Street, D3",1,"295 Treadwell Street, D3
Hamden, CT 06514
(41.352885, -72.923209)",7,1044,197,62
2013,"SeeClickFix, Inc.",746 Chapel Street,New Haven,New Haven,CT,06510,Wireless Telecomms Carriers (Except Satellite),517210,No,12/19/2012,100000.00,193650.00,293650.00,1179806.00,886156.00,Small Business Express Program,CGS Sec. 32-7g,12,15,0,0,19,Not Met,from 2% to 3%,n/a,12,15,0,0,,,Active,746 Chapel Street,1,"746 Chapel Street
New Haven, CT 06510
(41.304895, -72.923044)",7,1044,133,93
2017,"Lazaridis, Inc.",2713 Main Street,Glastonbury,Hartford,CT,06033,Restaurant,722511,Yes Woman,06/09/2017,100000.00,0.00,100000.00,200000.00,100000.00,Small Business Express Program,CGS Sec. 32-7g,8,5,0,0,Pending,Pending,n/a,n/a,8,5,12,0,,,Active,2713 Main Street,1,"2713 Main Street
Glastonbury, CT 06033
(41.716984, -72.612296)",1,1041,90,54
2014,"Alternative Heating and Supplies, LLC",160 Christian Street,Oxford,New Haven,CT,06478,Heating Equipment Manufacturing/Retail,333414/453990,Yes Woman,03/24/2014,0.00,250000.00,250000.00,310000.00,60000.00,Small Business Express Program,CGS Sec. 32-7g,0,2,0,0,3,Met,n/a,"$   40,000",0,2,0,0,,,Active,160 Christian Street,1,"160 Christian Street
Oxford, CT 06478
(41.464586, -73.137158)",4,1044,12,108
2016,"Sign Pro, Inc.",168 Stanley Street,New Britain,Hartford,CT,06051,Manufacturing,332900,No,12/08/2015,0.00,950000.00,950000.00,3086564.00,2136564.00,Manufacturing Assistance Act,CH 588l,35,10,,,53,Met,n/a,"200,000",35,10,3,0,,,Active,168 Stanley Street,1,"168 Stanley Street
New Britain, CT 06051
(41.653578, -72.769066)",1,1041,17,89
2014,Goyette Marketing Corp dba Onsight Solutions,"30 Crosby Street, Unit 501",Danbury,Fairfield,CT,06810,Marketing,541800,No,02/20/2014,0.00,200000.00,200000.00,238061.00,38061.00,Small Business Express Program,CGS Sec. 32-7g,2,2,0,0,1,Not Met,from 2% to 3%,n/a,2,2,0,0,,,Active,"30 Crosby Street, Unit 501",1,"30 Crosby Street, Unit 501
Danbury, CT 06810
(41.397956, -73.452921)",9,1040,1,34
2018,"Coastal Connecticut Counseling, LLC","2960 Post Road, Suite 3B2",Fairfield,Fairfield,CT,06890,Health Services,621330,Yes Woman,04/16/2018,20000.00,0.00,20000.00,40000.00,20000.00,Small Business Express Program,CGS Sec. 32-7g,1,2,0,0,Pending,Pending,n/a,n/a,1,2,2,0,,,Active,"2960 Post Road, Suite 3B2",1,,,,,
2019,Don Stevens Tire Co Inc.,60 Curtis Street,Southington,Hartford,CT,06489,Tire Recycling,423930,No,11/30/2018,0.00,300000.00,300000.00,300000.00,0.00,Small Business Express Program,CGS Sec. 32-7g,9,4,8,0,Pending,Pending,n/a,n/a,9,4,8,0,,,Compliance Complete,60 Curtis Street,1,"60 Curtis Street
Southington, CT 06489
(41.613122, -72.876653)",1,1041,176,131
